               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082662,            0.021393,            0.017451,             0.22333,             0.40694,              0.2006,            0.047711,            0.058631,            0.015156,           0.0025804,            0.070088,           0.0033236,           0.0033236
                   1,            0.058878,            0.017265,           0.0033889,             0.46186,             0.60907,             0.46007,             0.13642,            0.041103,            0.014756,           0.0024532,            0.040005,           0.0065745,           0.0065745
                   2,            0.052907,            0.016488,           0.0031871,             0.65076,             0.55676,             0.56811,             0.20551,            0.039175,            0.018018,           0.0023357,           0.0098405,            0.009743,            0.009743
                   3,            0.047783,            0.016088,           0.0024996,             0.65766,              0.6684,             0.68661,              0.2519,            0.036855,             0.01565,            0.001642,           0.0096288,           0.0096288,           0.0096288
                   4,             0.04506,            0.015963,           0.0019904,             0.71489,              0.7691,              0.7797,             0.30679,            0.032006,            0.013684,           0.0013173,           0.0096288,           0.0096288,           0.0096288
                   5,            0.042017,            0.015412,           0.0016561,             0.75423,             0.77162,             0.81801,             0.33863,            0.030474,            0.013558,           0.0011785,            0.009505,            0.009505,            0.009505
                   6,            0.041053,            0.015351,           0.0013839,              0.7271,             0.79057,             0.79767,             0.33376,            0.029786,            0.013424,           0.0009502,           0.0093813,           0.0093813,           0.0093813
                   7,            0.041603,            0.015345,           0.0013975,             0.74758,             0.78616,             0.82548,             0.34811,            0.029798,             0.01312,          0.00098123,           0.0092575,           0.0092575,           0.0092575
                   8,            0.039778,             0.01498,           0.0012105,             0.75627,             0.78968,             0.83269,             0.36026,             0.02905,            0.013137,          0.00085659,           0.0091337,           0.0091337,           0.0091337
                   9,            0.038038,            0.014804,           0.0010513,             0.76843,             0.80895,             0.84441,             0.36773,            0.028227,            0.013014,          0.00084869,             0.00901,             0.00901,             0.00901
                  10,            0.037405,            0.014986,           0.0010145,               0.767,             0.79794,             0.84833,             0.37878,            0.028556,            0.012954,          0.00075349,           0.0088863,           0.0088863,           0.0088863
                  11,            0.036295,            0.014656,          0.00084665,             0.76382,             0.79972,              0.8447,             0.37339,            0.028626,            0.012946,          0.00069811,           0.0087625,           0.0087625,           0.0087625
                  12,            0.036166,            0.014708,          0.00090697,             0.76436,             0.80732,             0.84307,             0.37205,            0.028508,            0.012789,          0.00060903,           0.0086388,           0.0086388,           0.0086388
